FieldsheetNo,Context,Mesosquare,Date,Time,Compiled by,TotalTime,Visibility,SlopeGradient,Aspect,Vegetation,LandUse,Topography,SoilTypes,SurfaceCondition,Member1,Member2,Member3,Member4,Member1count,Member2count,Member3count,Member4count,TotalCount,FieldPhoto,FieldPhotoDate,FieldPhotoTakenBy,FieldPhotoTakenFrom,FieldPhotoComments,AdditionalPhoto1,AdditionalPhoto1Date,AdditionalPhoto1TakenBy,AdditionalPhoto1TakenFrom,AdditionalPhoto1Comments,AdditionalPhoto2,AdditionalPhoto2Date,AdditionalPhoto2TakenBy,AdditionalPhoto2TakenFrom,AdditionalPhoto2Comments,Feature1photo,Feature1Type,Feature1GPS,Feature1Notes,Feature1Finds,Feature1Previouslyexcavated,Feature2Photo,Feature2Type,Feature2GPS,Feature2Notes,Feature2Finds,Feature2PreviouslyExcavated,Feature3Photo,Feature3Type,Feature3GPS,Feature3Finds,Feature3Notes,Feature3PreviouslyExcavated,Feature4Photo,Feature4Type,Feature4GPS,Feature4Notes,Feature4Finds,Feature4PreviouslyExcavated,Notes,Feature5Photo,Feature5Type,Feature5GPS,Feature5Notes,Feature5Finds,Feature5PreviouslyExcavated,Feuture6Photo,Feuture6Type,Feature6GPS,Feature6Notes,Feature6Finds,Feature6PreviouslyExcavated,Feature7Photo,Feature7Type,Feature7GPS,Feature7Notes,Feature7Finds#,Feature7PreviouslyExcavated,Feature8Photo,Feature8Type,Feature8GPS,Feature8Notes,Feature8Finds,Feature8PreviouslyExcavated,AdditionalPhoto3,AdditionalPhoto3Date,AdditionalPhoto3TakenBy,AdditionalPhoto3TakenFrom,AdditionalPhoto3Comments,AdditionalPhoto4,AdditionalPhoto4Date,AdditionalPhoto4TakenBy,AdditionalPhoto4TakenFrom,AdditionalPhoto4Comments,Additionalphotograph1comment,Additionalphotograph2comment,Additionalphotograph3comment,Additionalphotograph4comment,Additionalphotograph5comment,Additionalphotograph6comment,Additionalphotograph7comment,Additionalphotograph8comment,Additionalphotograph9comment,Additionalphotograph10comment
,133,J1.2,11-07-2013,10:50:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,AP,,,,,,,,187,T13.133.2,11-07-2013,SVW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,J1.3,11-07-2013,11:25:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SVW,,,,,,,,94,T13.133.3,11-07-2013,WVA,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,J1.4,11-07-2013,11:50:00,SVW,20,,,,Maquis,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,TP,,,,,,,,197,T13.133.4,11-07-2013,SVW,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,K1.1,12-07-2013,06:40:00,SVW,20,,,,Maquis,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,WVA,,,,,,,,191,T13.134.1,12-07-2013,SVW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,K1.2,12-07-2013,07:10:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,SDS,,,,,,,,183,T13.134.2,12-07-2013,WVA,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,K1.3,12-07-2013,07:40:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,WVA,,,,,,,,247,T13.134.3,12-07-2013,SVW,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,K1.4,12-07-2013,08:17:00,WVA,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,CL,,,,,,,,175,T13.134.4,12-07-2013,WVA,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,L1.1,12-07-2013,09:05:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,TP,,,,,,,,188,T13.135.1,12-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,L1.2,12-07-2013,09:44:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SVW,,,,,,,,96,T13.135.2,12-07-2013,WVA,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,L1.3,12-07-2013,11:30:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,WVA,,,,,,,,108,T13.135.3,12-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,L1.4,12-07-2013,12:05:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,CL,,,,,,,,98,T13.135.4,12-07-2013,WVA,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,L2.1,13-07-2013,07:00:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SC,,,,,,,,183,T13.136.1,13-07-2013,SVW,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,L2.2,13-07-2013,07:00:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SVW,,,,,,,,75,T13.136.2,13-07-2013,SVW,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,L2.3,13-07-2013,07:40:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SC,,,,,,,,278,T13.136.3,13-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,L2.4,13-07-2013,07:40:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,WVA,,,,,,,,141,T13.136.4,13-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,L3.1,13-07-2013,08:55:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Bedrock
Gravel",Dry,SDS,,,,,,,,100,T13.124.1,13-07-2013,SVW,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,L3.2,13-07-2013,08:55:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,AP,,,,,,,,86,T13.124.2,13-07-2013,SVW,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,L3.3,13-07-2013,09:45:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,AP,,,,,,,,48,T13.124.3,13-07-2013,SVW,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,L3.4,13-07-2013,09:45:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,SVW,,,,,,,,41,T13.124.4,13-07-2013,SVW,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,M1.1,13-07-2013,10:50:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MP,,,,,,,,42,T13.137.1,13-07-2013,SVW,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,M1.2,13-07-2013,11:25:00,WVA,20,,,,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,TP,,,,,,,,40,T13.137.2,13-07-2013,WVA,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,M1.3,15-07-2013,07:00:00,FvdE,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,BM,,,,,,,,54,T13.137.3,15-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,M1.4,15-07-2013,07:00:00,AB,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,DVA,,,,,,,,26,T13.137.4,15-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,N1.3,15-07-2013,07:50:00,AB,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,ABO,,,,,,,,47,T13.138.3,15-07-2013,SVW,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,N1.4,15-07-2013,07:50:00,AB,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,BM,,,,,,,,28,T13.138.4,15-07-2013,SVW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,N1.1,15-07-2013,08:40:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SVW,,,,,,,,22,T13.138.1,15-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,N1.2,15-07-2013,08:40:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,LB,,,,,,,,13,T13.138.2,15-07-2013,SVW,NW,,,,,,,,,,,,T13.138.2 Wall,Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,O1.1,15-07-2013,08:40:00,AB,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,AB,,,,,,,,16,T13.139.1,15-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,O1.2,15-07-2013,09:35:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,LM,,,,,,,,22,T13.139.2,15-07-2013,SVW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,O1.3,15-07-2013,09:35:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,DVA,,,,,,,,20,T13.139.3,15-07-2013,SVW,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,M2.1,15-07-2013,10:45:00,WVA,20,,,,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,LB,,,,,,,,45,T13.127.1,15-07-2013,WVA,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second survey of M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,M2.3,15-07-2013,10:45:00,AB,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,DVA,,,,,,,,53,T13.127.3,15-07-2013,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second survey of M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,L2.2,15-07-2013,11:30:00,WVA,20,,,,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,WVA,,,,,,,,48,T13.136.2* ,15-07-2013,WVA,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,L2.4,15-07-2013,11:30:00,AB,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,AB,,,,,,,,76,T13.136.4*,15-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,L2.1,15-07-2013,12:15:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,LB,,,,,,,,114,T13.136.1*,15-07-2013,WVA,NE,,,,,,,,,,,,T13.136.1 pottery*,Cluster of pottery around terrace wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,L2.3,15-07-2013,12:15:00,AB,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,DVA,,,,,,,,125,T13.136.3*,15-07-2013,AB,NE,,,,,,,,,,,,T13.136.3 Wall*,Terrace Wall,,,,,,,,,,,,,,,,,,,,,,,Many roof tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,K2.2,16-07-2013,06:37:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Gravel
Bedrock
Sand",Dry,DVA,,,,,,,,111,T13.140.2,16-07-2013,WVA,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Many roof tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,K2.4,16-07-2013,06:37:00,AB,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,LB,,,,,,,,335,T13.140.4,16-07-2013,WVA,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Many roof tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,K3.2,16-07-2013,06:37:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,ML,,,,,,,,344,T13.141.2,16-07-2013,WVA,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,K2.1,16-07-2013,07:29:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,ABO,,,,,,,,126,T13.140.1,16-07-2013,WVA,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,K2.3,16-07-2013,07:29:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,CL,,,,,,,,139,T13.140.3,16-07-2013,WVA,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,K3.1,16-07-2013,07:25:00,ML,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,BM,,,,,,,,236,T13.141.1,16-07-2013,SVW,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,J2.2,16-07-2013,08:22:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,ABO,,,,,,,,178,T13.142.2,16-07-2013,SVW,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,J2.4,16-07-2013,08:22:00,AB,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,SDS,,,,,,,,203,T13.142.4,16-07-2013,SVW,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,J2.1,16-07-2013,09:10:00,ML,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MP,,,,,,,,120,T13.142.1,16-07-2013,SVW,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,J2.3,16-07-2013,09:10:00,AB,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,MH,,,,,,,,71,T13.142.3,16-07-2013,SVW,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,144,I2.2,16-07-2013,09:40:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,ABO,,,,,,,,102,T13.144.2,16-07-2013,SVW,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,144,I2.4,16-07-2013,09:40:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SDS,,,,,,,,58,T13.144.4,16-07-2013,SVW,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,144,I2.1,16-07-2013,10:55:00,ML,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,CL,,,,,,,,133,T13.144.1,16-07-2013,SVW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,144,I2.3,16-07-2013,10:55:00,AB,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MH,,,,,,,,99,T13.144.3,16-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,H2.2,16-07-2013,11:35:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,ABO,,,,,,,,115,T13.145.2,16-07-2013,SVW,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,H2.4,16-07-2013,11:35:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SDS,,,,,,,,65,T13.145.4,16-07-2013,SVW,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,H2.1,16-07-2013,12:18:00,AB,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MP,,,,,,,,170,T13.145.1,16-07-2013,SVW,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,H2.3,16-07-2013,12:18:00,AB,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MH,,,,,,,,71,T13.145.3,16-07-2013,SVW,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,H52.3,17-07-2013,07:05:00,ML,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,DVA,,,,,,,,192,T13.150.3,17-07-2013,AB,NE,,,,,,,,,,,,T13.150.3 Wall1,Wall,N37�44.405' E024�03.343' 100m alt,,,no,,,,,,,,,,,,,,,,,,,Multiple terrace walls spread out over H52.1 and H52.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,H52.4,17-07-2013,07:05:00,AB,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,MK,,,,,,,,189,T13.150.4,17-07-2013,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,H52.1,17-07-2013,07:40:00,EM,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,SC,,,,,,,,187,T13.150.1,17-07-2013,AB,NE,,,,,,,,,,,,T13.150.1 Grindstone,Grindstone,N37�44.415' E024�03.338' 120m alt,,,no,,,,,,,,,,,,,,,,,,,Multiple terrace walls spread out over H52.1 and H52.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,H52.2,17-07-2013,07:40:00,EM,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,WVA,,,,,,,,264,T13.150.2,17-07-2013,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,H53.3,17-07-2013,08:30:00,ML,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,EM,,,,,,,,328,T13.151.3,17-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,H53.4,17-07-2013,08:30:00,ML,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,DVA,,,,,,,,170,T13.151.4,17-07-2013,AB,NW,,,,,,,,,,,,T13.151.4Wall1 - Wall4,Wall 1,2,3,4,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,H53.1,17-07-2013,09:15:00,EM,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,LBO,,,,,,,,259,T13.151.1,17-07-2013,AB,NE,,,,,,,,,,,,T13.151.1 Wall1,3 walls, the top wall in H53.1 and the lower ones in H53.2,N37�44.443' E024�03.352' 140m alt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,H53.2,17-07-2013,09:15:00,EM,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,WVA,,,,,,,,100,T13.151.2,17-07-2013,AB,NW,,,,,,,,,,,,T13.151.2 Wall1,Walls excavated previously,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,J3.2,17-07-2013,11:15:00,EM,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MK,,,,,,,,352,T13.143.2,17-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,J3.1,17-07-2013,11:55:00,EM,20,,,,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,WVA,,,,,,,,101,T13.143.1,17-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,J3.3,17-07-2013,12:35:00,EM,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SC,,,,,,,,105,T13.143.3,17-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,K3.4,17-07-2013,07:15:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,ABO,,,,,,,,290,T13.141.4,17-07-2013,SVW,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,K3.3,17-07-2013,07:45:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,LM,,,,,,,,652,T13.141.3,17-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,152,I53.1,18-07-2013,06:50:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,SC,,,,,,,,140,T13.152.1,18-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad visibility due to much overgrowth in the form of cereals and bushes. Very windy day. Large scatter of rocks and some indeterminate terrace walls (maybe not ancient),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,152,I53.3,18-07-2013,06:50:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,ID,,,,,,,,129,T13.152.3,18-07-2013,AB,NE,,,,,,,,,,,,T13.152.3 Excavation 1 - 6,Previous excavation,,,,Yes,,,,,,,,,,,,,,,,,,,Previous excavation, T-shaped. Bad visibility due to much overgrowth in the form of cereals and bushes. Very windy day. Large scatter of rocks and some indeterminate terrace walls (maybe not ancient). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,152,I53.2,18-07-2013,07:25:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,CL,,,,,,,,154,T13.152.2,18-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
